league,name,position,team,description,line_score,stat_type,flash_sale_line_score,is_promo,start_time,updated_at
SOCCER,Alex Iwobi,M,Everton,Wolverhampton,0.5,Interceptions,,False,2022-12-26T10:00:00-05:00,2022-12-24T11:35:37-05:00
SOCCER,Idrissa Gueye,M,Everton,Wolverhampton,2,Interceptions,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:25:20-05:00
SOCCER,Amadou Onana,M,Everton,Wolverhampton,0.5,Interceptions,,False,2022-12-26T10:00:00-05:00,2022-12-24T14:08:59-05:00
SOCCER,James Tarkowski,D,Everton,Wolverhampton,1.5,Interceptions,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:24:57-05:00
SOCCER,Nathan Patterson,D,Everton,Wolverhampton,1,Interceptions,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:24:57-05:00
SOCCER,Vitaliy Mykolenko,D,Everton,Wolverhampton,1.5,Interceptions,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:24:57-05:00
SOCCER,Rúben Neves,M,Wolverhampton,Everton,1.5,Interceptions,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:24:57-05:00
SOCCER,Nathan Collins,D,Wolverhampton,Everton,1,Interceptions,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:24:57-05:00
SOCCER,Neal Maupay,F,Everton,Wolverhampton,0.5,Shots Assisted,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:24:57-05:00
SOCCER,Demarai Gray,M,Everton,Wolverhampton,1.5,Shots Assisted,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:24:57-05:00
SOCCER,Anthony Gordon,M,Everton,Wolverhampton,0.5,Shots Assisted,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:24:57-05:00
SOCCER,Amadou Onana,M,Everton,Wolverhampton,0.5,Shots Assisted,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:24:57-05:00
SOCCER,Vitaliy Mykolenko,D,Everton,Wolverhampton,0.5,Shots Assisted,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:24:20-05:00
SOCCER,Hee-Chan Hwang,F,Wolverhampton,Everton,0.5,Shots Assisted,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:24:57-05:00
SOCCER,Daniel Podence,F,Wolverhampton,Everton,1.5,Shots Assisted,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:24:57-05:00
SOCCER,João Moutinho,M,Wolverhampton,Everton,1.5,Shots Assisted,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:24:57-05:00
SOCCER,Rúben Neves,M,Wolverhampton,Everton,1,Shots Assisted,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:24:57-05:00
SOCCER,Callum Wilson,F,Newcastle United,Leicester City,2.5,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T15:21:47-05:00
SOCCER,Patson Daka,F,Leicester City,Newcastle United,2,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:22:34-05:00
SOCCER,Joelinton,F,Newcastle United,Leicester City,1.5,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:22:34-05:00
SOCCER,Harvey Barnes,M,Leicester City,Newcastle United,2.5,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:38:11-05:00
SOCCER,Miguel Almirón,M,Newcastle United,Leicester City,2.5,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:53:33-05:00
SOCCER,James Maddison,M,Leicester City,Newcastle United,2.5,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:28:46-05:00
SOCCER,Joseph Willock,M,Newcastle United,Leicester City,1.5,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:22:34-05:00
SOCCER,Kiernan Dewsbury-Hall,CM,Leicester City,Newcastle United,0.5,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:22:34-05:00
SOCCER,Dan Burn,M,Newcastle United,Leicester City,0.5,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:32:14-05:00
SOCCER,Youri Tielemans,M,Leicester City,Newcastle United,1,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:32:14-05:00
SOCCER,Sven Botman,D,Newcastle United,Leicester City,0.5,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:16:24-05:00
SOCCER,Timothy Castagne,D,Leicester City,Newcastle United,0.5,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:10:55-05:00
SOCCER,Kieran Trippier,M,Newcastle United,Leicester City,0.5,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:53:22-05:00
SOCCER,Nick Pope,GK,Newcastle United,Leicester City,18.5,Passes Attempted,,False,2022-12-26T10:00:00-05:00,2022-12-24T16:10:37-05:00
SOCCER,Danny Ward,GK,Leicester City,Newcastle United,30.5,Passes Attempted,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:22:34-05:00
SOCCER,Bruno Guimarães,CM,Newcastle United,Leicester City,54.5,Passes Attempted,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:58:26-05:00
SOCCER,Harvey Barnes,M,Leicester City,Newcastle United,25.5,Passes Attempted,,False,2022-12-26T10:00:00-05:00,2022-12-24T15:44:27-05:00
SOCCER,Sven Botman,D,Newcastle United,Leicester City,49.5,Passes Attempted,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:22:34-05:00
SOCCER,Kiernan Dewsbury-Hall,CM,Leicester City,Newcastle United,43.5,Passes Attempted,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:22:34-05:00
SOCCER,Kieran Trippier,M,Newcastle United,Leicester City,54.5,Passes Attempted,,False,2022-12-26T10:00:00-05:00,2022-12-24T15:27:32-05:00
SOCCER,Daniel Amartey,D,Leicester City,Newcastle United,60.5,Passes Attempted,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:35:51-05:00
SOCCER,Joelinton,F,Newcastle United,Leicester City,1,Shots Assisted,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:22:34-05:00
SOCCER,Joseph Willock,M,Newcastle United,Leicester City,1,Shots Assisted,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:22:34-05:00
SOCCER,Sven Botman,D,Newcastle United,Leicester City,0.5,Shots Assisted,,False,2022-12-26T10:00:00-05:00,2022-12-24T17:02:32-05:00
SOCCER,Fabian Schär,M,Newcastle United,Leicester City,0.5,Shots Assisted,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:22:34-05:00
SOCCER,Harvey Barnes,M,Leicester City,Newcastle United,0.5,Shots Assisted,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:36:10-05:00
SOCCER,Kiernan Dewsbury-Hall,CM,Leicester City,Newcastle United,1.5,Shots Assisted,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:22:34-05:00
SOCCER,Timothy Castagne,D,Leicester City,Newcastle United,0.5,Shots Assisted,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:22:34-05:00
SOCCER,Joelinton,F,Newcastle United,Leicester City,2.5,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:22:34-05:00
SOCCER,Miguel Almirón,M,Newcastle United,Leicester City,1.5,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:25:15-05:00
SOCCER,Bruno Guimarães,CM,Newcastle United,Leicester City,2.5,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:22:34-05:00
SOCCER,Sean Longstaff,M,Newcastle United,Leicester City,1,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:38:08-05:00
SOCCER,Sven Botman,D,Newcastle United,Leicester City,1,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:22:34-05:00
SOCCER,Fabian Schär,M,Newcastle United,Leicester City,1,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:22:34-05:00
SOCCER,Kiernan Dewsbury-Hall,CM,Leicester City,Newcastle United,1,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:38:08-05:00
SOCCER,Boubakary Soumaré,M,Leicester City,Newcastle United,2.5,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T16:34:12-05:00
SOCCER,Daniel Amartey,D,Leicester City,Newcastle United,1,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:22:34-05:00
SOCCER,Timothy Castagne,D,Leicester City,Newcastle United,2,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:22:34-05:00
SOCCER,Callum Wilson,F,Newcastle United,Leicester City,1,Shots On Target,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:47:51-05:00
SOCCER,Joelinton,F,Newcastle United,Leicester City,0.5,Shots On Target,,False,2022-12-26T10:00:00-05:00,2022-12-24T16:13:33-05:00
SOCCER,Miguel Almirón,M,Newcastle United,Leicester City,1,Shots On Target,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:29:23-05:00
SOCCER,Joseph Willock,M,Newcastle United,Leicester City,0.5,Shots On Target,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:22:34-05:00
SOCCER,Harvey Barnes,M,Leicester City,Newcastle United,1,Shots On Target,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:29:25-05:00
SOCCER,James Maddison,M,Leicester City,Newcastle United,1,Shots On Target,,False,2022-12-26T10:00:00-05:00,2022-12-24T15:07:36-05:00
SOCCER,Youri Tielemans,M,Leicester City,Newcastle United,0.5,Shots On Target,,False,2022-12-26T10:00:00-05:00,2022-12-24T15:12:27-05:00
SOCCER,Bruno Guimarães,CM,Newcastle United,Leicester City,0.5,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:22:34-05:00
SOCCER,Sean Longstaff,M,Newcastle United,Leicester City,0.5,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:22:34-05:00
SOCCER,Dan Burn,M,Newcastle United,Leicester City,3,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:33:18-05:00
SOCCER,Fabian Schär,M,Newcastle United,Leicester City,4,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:45:22-05:00
SOCCER,Kieran Trippier,M,Newcastle United,Leicester City,2,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:47:51-05:00
SOCCER,Kiernan Dewsbury-Hall,CM,Leicester City,Newcastle United,0.5,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:22:34-05:00
SOCCER,Boubakary Soumaré,M,Leicester City,Newcastle United,1.5,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:22:34-05:00
SOCCER,Wout Faes,D,Leicester City,Newcastle United,3.5,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:22:34-05:00
SOCCER,Daniel Amartey,D,Leicester City,Newcastle United,2.5,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:22:34-05:00
SOCCER,Timothy Castagne,D,Leicester City,Newcastle United,2,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:35:46-05:00
SOCCER,Sean Longstaff,M,Newcastle United,Leicester City,0.5,Interceptions,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:22:34-05:00
SOCCER,Dan Burn,M,Newcastle United,Leicester City,1,Interceptions,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:22:34-05:00
SOCCER,Fabian Schär,M,Newcastle United,Leicester City,1.5,Interceptions,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:22:34-05:00
SOCCER,Boubakary Soumaré,M,Leicester City,Newcastle United,1,Interceptions,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:22:35-05:00
SOCCER,Wout Faes,D,Leicester City,Newcastle United,1,Interceptions,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:22:35-05:00
SOCCER,Daniel Amartey,D,Leicester City,Newcastle United,0.5,Interceptions,,False,2022-12-26T10:00:00-05:00,2022-12-24T14:23:06-05:00
SOCCER,Timothy Castagne,D,Leicester City,Newcastle United,1,Interceptions,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:22:35-05:00
SOCCER,Leandro Trossard,F,Brighton & Hove Albion,Southampton,2.5,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T14:32:41-05:00
SOCCER,Che Adams,F,Southampton,BHA,2,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:32:14-05:00
SOCCER,Solly March,M,Brighton & Hove Albion,Southampton,2,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T14:38:57-05:00
SOCCER,Romain Perraud,M,Southampton,BHA,1.5,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T15:11:58-05:00
SOCCER,Kaoru Mitoma,LM,Brighton & Hove Albion,Southampton,1,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:45:11-05:00
SOCCER,Mohamed Elyounoussi,M,Southampton,BHA,1.5,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:45:11-05:00
SOCCER,Pascal Groß,M,Brighton & Hove Albion,Southampton,1,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:45:11-05:00
SOCCER,James Ward-Prowse,M,Southampton,BHA,1,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T15:07:36-05:00
SOCCER,Tariq Lamptey,D,Brighton & Hove Albion,Southampton,0.5,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:10:55-05:00
SOCCER,Kyle Walker-Peters,M,Southampton,BHA,0.5,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:10:55-05:00
SOCCER,Lewis Dunk,M,Brighton & Hove Albion,Southampton,0.5,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:10:55-05:00
SOCCER,Mohammed Salisu,M,Southampton,BHA,0.5,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T16:10:40-05:00
SOCCER,Pervis Estupiñán,M,BHA,Southampton,0.5,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T15:34:54-05:00
SOCCER,Armel Bella-Kotchap,M,Southampton,BHA,0.5,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:10:55-05:00
SOCCER,Robert Sanchez,GK,Brighton & Hove Albion,Southampton,29.5,Passes Attempted,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:45:11-05:00
SOCCER,Gavin Bazunu,GK,Southampton,BHA,34.5,Passes Attempted,,False,2022-12-26T10:00:00-05:00,2022-12-24T16:10:37-05:00
SOCCER,Lewis Dunk,M,Brighton & Hove Albion,Southampton,75.5,Passes Attempted,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:43:37-05:00
SOCCER,James Ward-Prowse,M,Southampton,BHA,57.5,Passes Attempted,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:45:11-05:00
SOCCER,Moisés Caicedo,M,Brighton & Hove Albion,Southampton,58.5,Passes Attempted,,False,2022-12-26T10:00:00-05:00,2022-12-24T16:24:56-05:00
SOCCER,Che Adams,F,Southampton,BHA,21.5,Passes Attempted,,False,2022-12-26T10:00:00-05:00,2022-12-24T14:32:46-05:00
SOCCER,Pervis Estupiñán,M,BHA,Southampton,43.5,Passes Attempted,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:45:11-05:00
SOCCER,Mohammed Salisu,M,Southampton,BHA,54.5,Passes Attempted,,False,2022-12-26T10:00:00-05:00,2022-12-24T14:32:46-05:00
SOCCER,Leandro Trossard,F,Brighton & Hove Albion,Southampton,1.5,Shots Assisted,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:45:11-05:00
SOCCER,Che Adams,F,Southampton,BHA,1,Shots Assisted,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:45:11-05:00
SOCCER,Moisés Caicedo,M,Brighton & Hove Albion,Southampton,1,Shots Assisted,,False,2022-12-26T10:00:00-05:00,2022-12-24T17:26:23-05:00
SOCCER,Pascal Groß,M,Brighton & Hove Albion,Southampton,2,Shots Assisted,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:45:11-05:00
SOCCER,Adam Armstrong,F,Southampton,BHA,0.5,Shots Assisted,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:45:11-05:00
SOCCER,Mohamed Elyounoussi,M,Southampton,BHA,0.5,Shots Assisted,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:45:11-05:00
SOCCER,James Ward-Prowse,M,Southampton,BHA,2,Shots Assisted,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:45:11-05:00
SOCCER,Kyle Walker-Peters,M,Southampton,BHA,0.5,Shots Assisted,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:45:11-05:00
SOCCER,Che Adams,F,Southampton,BHA,0.5,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T14:01:21-05:00
SOCCER,Solly March,M,Brighton & Hove Albion,Southampton,1.5,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:45:11-05:00
SOCCER,Kaoru Mitoma,LM,Brighton & Hove Albion,Southampton,1.5,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:45:11-05:00
SOCCER,Moisés Caicedo,M,Brighton & Hove Albion,Southampton,3,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:45:11-05:00
SOCCER,Pascal Groß,M,Brighton & Hove Albion,Southampton,1.5,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:45:12-05:00
SOCCER,Lewis Dunk,M,Brighton & Hove Albion,Southampton,0.5,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T14:01:21-05:00
SOCCER,Pervis Estupiñán,M,BHA,Southampton,1.5,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:45:12-05:00
SOCCER,Adam Armstrong,F,Southampton,BHA,0.5,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:45:12-05:00
SOCCER,Romain Perraud,M,Southampton,BHA,2,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:45:12-05:00
SOCCER,Mohamed Elyounoussi,M,Southampton,BHA,1.5,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:45:12-05:00
SOCCER,James Ward-Prowse,M,Southampton,BHA,1.5,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:25:15-05:00
SOCCER,Kyle Walker-Peters,M,Southampton,BHA,2,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:45:12-05:00
SOCCER,Mohammed Salisu,M,Southampton,BHA,2.5,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T15:34:17-05:00
SOCCER,Armel Bella-Kotchap,M,Southampton,BHA,1.5,Tackles,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:45:12-05:00
SOCCER,Leandro Trossard,F,Brighton & Hove Albion,Southampton,1,Shots On Target,,False,2022-12-26T10:00:00-05:00,2022-12-24T17:17:36-05:00
SOCCER,Adam Armstrong,F,Southampton,BHA,0.5,Shots On Target,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:57:04-05:00
SOCCER,Mohamed Elyounoussi,M,Southampton,BHA,0.5,Shots On Target,,False,2022-12-26T10:00:00-05:00,2022-12-24T17:01:22-05:00
SOCCER,Che Adams,F,Southampton,BHA,1,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:43:39-05:00
SOCCER,Moisés Caicedo,M,Brighton & Hove Albion,Southampton,0.5,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:45:12-05:00
SOCCER,Lewis Dunk,M,Brighton & Hove Albion,Southampton,3,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T15:08:37-05:00
SOCCER,Pervis Estupiñán,M,BHA,Southampton,1,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:45:12-05:00
SOCCER,Robert Sanchez,GK,Brighton & Hove Albion,Southampton,0.5,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T15:23:17-05:00
SOCCER,Mohamed Elyounoussi,M,Southampton,BHA,1.5,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:45:12-05:00
SOCCER,Kyle Walker-Peters,M,Southampton,BHA,1.5,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:45:12-05:00
SOCCER,Mohammed Salisu,M,Southampton,BHA,4.5,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:43:39-05:00
SOCCER,Armel Bella-Kotchap,M,Southampton,BHA,4.5,Clearances,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:33:18-05:00
SOCCER,Moisés Caicedo,M,Brighton & Hove Albion,Southampton,1.5,Interceptions,,False,2022-12-26T10:00:00-05:00,2022-12-24T15:42:12-05:00
SOCCER,Lewis Dunk,M,Brighton & Hove Albion,Southampton,1,Interceptions,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:45:12-05:00
SOCCER,Romain Perraud,M,Southampton,BHA,1,Interceptions,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:45:12-05:00
SOCCER,Mohamed Elyounoussi,M,Southampton,BHA,0.5,Interceptions,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:45:12-05:00
SOCCER,Mohammed Salisu,M,Southampton,BHA,1,Interceptions,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:45:12-05:00
