league,name,position,team,description,line_score,stat_type,flash_sale_line_score,is_promo,start_time,updated_at
SOCCER,Pierre-Emile Højbjerg,M,Tottenham,Brentford,1,Shots,,False,2022-12-26T07:30:00-05:00,2022-12-24T02:22:21-05:00
SOCCER,Ben Mee,CB,Brentford,Tottenham,52.5,Passes Attempted,,False,2022-12-26T07:30:00-05:00,2022-12-24T02:04:23-05:00
SOCCER,Eric Dier,CB,Tottenham,Brentford,76.5,Passes Attempted,,False,2022-12-26T07:30:00-05:00,2022-12-24T01:55:13-05:00
SOCCER,Ivan Toney,F,Brentford,Tottenham,21.5,Passes Attempted,,False,2022-12-26T07:30:00-05:00,2022-12-24T02:20:37-05:00
SOCCER,Pierre-Emile Højbjerg,M,Tottenham,Brentford,74.5,Passes Attempted,,False,2022-12-26T07:30:00-05:00,2022-12-24T01:58:50-05:00
SOCCER,Rico Henry,M,Brentford,Tottenham,29.5,Passes Attempted,,False,2022-12-26T07:30:00-05:00,2022-12-24T03:10:42-05:00
SOCCER,Harry Kane,F,Tottenham,Brentford,21.5,Passes Attempted,,False,2022-12-26T07:30:00-05:00,2022-12-24T02:04:23-05:00
SOCCER,David Raya,GK,Brentford,Tottenham,37.5,Passes Attempted,,False,2022-12-26T07:30:00-05:00,2022-12-24T02:51:31-05:00
SOCCER,Fraser Forster,GK,Tottenham,Brentford,25.5,Passes Attempted,,False,2022-12-26T07:30:00-05:00,2022-12-24T02:24:39-05:00
SOCCER,Dejan Kulusekvski,MF,Tottenham,Brentford,1.5,Shots Assisted,,False,2022-12-26T07:30:00-05:00,2022-12-24T02:55:16-05:00
SOCCER,Heung-Min Son,F,Tottenham,Brentford,2,Shots Assisted,,False,2022-12-26T07:30:00-05:00,2022-12-24T01:54:09-05:00
SOCCER,Harry Kane,F,Tottenham,Brentford,2,Shots Assisted,,False,2022-12-26T07:30:00-05:00,2022-12-24T01:46:41-05:00
SOCCER,Ivan Toney,F,Brentford,Tottenham,1,Shots Assisted,,False,2022-12-26T07:30:00-05:00,2022-12-24T02:10:23-05:00
SOCCER,Bryan Mbeumo,F,Brentford,Tottenham,1,Shots Assisted,,False,2022-12-26T07:30:00-05:00,2022-12-24T04:23:42-05:00
SOCCER,Mathias Jensen,M,Brentford,Tottenham,1.5,Shots Assisted,,False,2022-12-26T07:30:00-05:00,2022-12-24T02:03:55-05:00
SOCCER,Ben Mee,CB,Brentford,Tottenham,1,Tackles,,False,2022-12-26T07:30:00-05:00,2022-12-24T03:19:23-05:00
SOCCER,Ethan Pinnock,CB,Brentford,Tottenham,1,Tackles,,False,2022-12-26T07:30:00-05:00,2022-12-24T05:13:35-05:00
SOCCER,Rico Henry,M,Brentford,Tottenham,1,Tackles,,False,2022-12-26T07:30:00-05:00,2022-12-24T08:30:41-05:00
SOCCER,Pierre-Emile Højbjerg,M,Tottenham,Brentford,2,Tackles,,False,2022-12-26T07:30:00-05:00,2022-12-24T02:10:23-05:00
SOCCER,Davinson Sánchez,CB,Tottenham,Brentford,1,Tackles,,False,2022-12-26T07:30:00-05:00,2022-12-24T03:45:12-05:00
SOCCER,Eric Dier,CB,Tottenham,Brentford,1,Tackles,,False,2022-12-26T07:30:00-05:00,2022-12-24T03:29:07-05:00
SOCCER,Bryan Mbeumo,F,Brentford,Tottenham,0.5,Shots On Target,,False,2022-12-26T07:30:00-05:00,2022-12-24T01:48:21-05:00
SOCCER,Yoane Wissa,M,Brentford,Tottenham,0.5,Shots On Target,,False,2022-12-26T07:30:00-05:00,2022-12-24T01:48:21-05:00
SOCCER,Dejan Kulusekvski,MF,Tottenham,Brentford,0.5,Shots On Target,,False,2022-12-26T07:30:00-05:00,2022-12-24T01:48:21-05:00
SOCCER,Harry Kane,F,Tottenham,Brentford,1.5,Shots On Target,,False,2022-12-26T07:30:00-05:00,2022-12-24T01:47:08-05:00
SOCCER,Heung-Min Son,F,Tottenham,Brentford,1,Shots On Target,,False,2022-12-26T07:30:00-05:00,2022-12-24T01:45:35-05:00
SOCCER,Yves Bissouma,M,Tottenham,Brentford,1.5,Clearances,,False,2022-12-26T07:30:00-05:00,2022-12-24T03:23:07-05:00
SOCCER,Ben Davies,D,Tottenham,Brentford,2.5,Clearances,,False,2022-12-26T07:30:00-05:00,2022-12-24T01:47:27-05:00
SOCCER,Eric Dier,CB,Tottenham,Brentford,3,Clearances,,False,2022-12-26T07:30:00-05:00,2022-12-24T02:09:06-05:00
SOCCER,Davinson Sánchez,CB,Tottenham,Brentford,2.5,Clearances,,False,2022-12-26T07:30:00-05:00,2022-12-24T02:42:41-05:00
SOCCER,Ethan Pinnock,CB,Brentford,Tottenham,5.5,Clearances,,False,2022-12-26T07:30:00-05:00,2022-12-24T02:09:06-05:00
SOCCER,Ben Mee,CB,Brentford,Tottenham,4,Clearances,,False,2022-12-26T07:30:00-05:00,2022-12-24T02:09:06-05:00
SOCCER,Wilfried Zaha,F,Crystal Palace,Fulham,2.5,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T09:32:54-05:00
SOCCER,Carlos Vinicius,F,Fulham,Crystal Palace,2,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:40:14-05:00
SOCCER,Jordan Ayew,F,Crystal Palace,Fulham,0.5,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:28:15-05:00
SOCCER,Aleksandar Mitrovic,F,Fulham,Crystal Palace,3.5,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T11:02:19-05:00
SOCCER,Eberechi Eze,CM,Crystal Palace,Fulham,2,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T10:19:35-05:00
SOCCER,Andreas Pereira,M,Fulham,Crystal Palace,1.5,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T09:57:55-05:00
SOCCER,Jeffrey Schlupp,M,Crystal Palace,Fulham,1,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T13:16:07-05:00
SOCCER,Willian,F,Fulham,Crystal Palace,2,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T11:48:14-05:00
SOCCER,Michael Olise,M,Crystal Palace,Fulham,2,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T11:36:21-05:00
SOCCER,Joao Palhinha,CM,Fulham,Crystal Palace,1,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T11:18:43-05:00
SOCCER,Joachim Andersen,CB,Crystal Palace,Fulham,0.5,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T09:58:39-05:00
SOCCER,Odsonne Edouard,F,Crystal Palace,Fulham,1.5,Shots,,False,2022-12-26T10:00:00-05:00,2022-12-24T12:34:46-05:00
